cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8
-211690618#2,131025957#1,1028570785#1,44886288#1,90636869#0,-104353087#4,30998306#1,587119225#2,-45701220#2
1030669190#1,131025957#2,1028570786#7,190898553#2,47418248#6,88083336#2,392090724#8,89825900#1,46771119#3
172368556,-24372996#0,129219188,1058027400#4,1244504475#0,-185216944,59262034#4,89820772#0,680497677
172368555,24372996#0,-368074414#0,47113636#15,94094831#2,161392513#1,-184314048#1,-395264626#4,59585493#2-AddedOnRampEdge
4847513,31283064#0,-1028570786#8,72843620#0,94094868#4,70364448#1,168663962#3,-31050856#15,46771119#0
1030281241#1,131025929#0,46875474,-199783479,-95282524#0,120588503#3,-174022677#0,89825899,71500772
59254368#0,170624716#2,44884987#0,164774174#1,682712370#2,161392603,-220549214#0,89881820#0,-46655813#6
968221183#1-AddedOnRampEdge,40963331#1,44884834#0,-72843607#1,368086828#5,24294870#1,420083581#1,22720676#0,-56016112#3
265010578,584188121,166899880#0,47114116#2,680762193#1,1144401621,-220549209#1,683458164#3,46655813#1
-1030669190#0,388577161#2,44884665#4,-164774173#4,851839123,-1060235884,31096752#1,1024849139,56016110#0
47025712#0,44883380#0,172627210#0,-151801165#2,1051315751#4,-616560955#1,-157058387#0,89881824#3,-46655813#2
968221183#1,-746064102,1028573260#0,-796894969#2,94094868#3,1057050907#0,209210758#3,37672006#2,792190864
4847514#1,746064102,-44884665#1,777680434,94094868#6,-154253470#1,95396820#3,89825903#19,-46655808
-1030669188,-23704726#2,23288368#0,313310947#0,95396843#2,44884989#1,31857045#1,89934509#0,1057080943
177148861#0,23704726#2,1028570786#5,878626252,35216007#10,168663960#6,-22562407#6,-89881824#1,680497644#0
4848746,-27241669#1,44884669#0,44885597#6,368086828#8,1057527743#5,157296628#1,98883477#9,-296443882
4848912#2,682445848#1,170624731#3,47113651#1,1055855103#0,-88561232#1,199921334,395264635#0,-45701220#1
265010590#0,-131025961#0,-170624724#0,149986664#1,94094868#5,-161392543,157292797,89041314#4,1021555395
-25868122,131025961#1,170624690#0,47113644#0,94094819#0,-154253434#1,168663972#1,92034752,-1196019587#1
4848899#0,-23704726#3,1028573261#4,59584804#0,94094801#2,154253460#1,708004651#1,395264632#2,-57015985#3
4848899#0-AddedOffRampEdge,-269150824,167023144#0,-749803802#5,667863957,1057050910#2,-151175260#0,19922745#0,-1196019588
1030669190#0,-31283076#1,-368074418#2,-194569422,438405583#7,44886560#1-AddedOnRampEdge,133434896#0,-533092485#4,-1021561140
265010573#1,-23488562#1,1028572152#0,1124066513#0,31046405,-1057054858#7,133288858,89825903#7,56016110#5
154083433#0,23488562#2,1028572138,-47981602#0,-157238666#0,30841649#7,151175252#0,-89825914#9,72374661
4848912#4,45173877,-1028572143#1,-1229890434,199311790,-154253457#1,-397642511#4,-199311779#26,56016125#3
265010615,45173874#1,184580019#1,199783481,90795036#0,1057054858#0,-172365185#0,-44776183#2,208649503#2
211690628#1,44838406,209210755#6,-231449996,368086834,23217864#4,174022662,89881814#2,154522201
-172368557#0,170624721#1,-44884670#2,1056874654#0,438405583#6,88954527#0,-172365184,89929096#1,388577154#0
4848745,-332634091#2,211708156#0,-47981601#4,839784838#2,1057527743#3,-103761129#4,99508337#4,750339758#4
354858486,-332634091#4,170624692#1,1066886860#0,72465206#1,44886564#0,372741502#1,77100166#3,793657045#1
1030281241#3,1028619497#1,209210755#1,1066890910#0,94094796#1,-174022668,-31096719#2,-581895213,162521831#1
968221183#5,-31283137#1,1028573263#1,47113630#4,273211053#0,228056325#3,1080759180#6,265225085#1,46655817
265010607#0,-23488562#4,23288368#1,190533567#1,95396776#0,-1057054858#6,228090236,395264637#0,-185217013#0
-154083816#1,261514198#2,170624725,1058036870#0,-31046679,161392635#0,-133288284#3,618273211,46771116#1
-154083433#1,-46148745#0,-170624694,681031181#0,273211103#1,70350396#2,133288286#0,597967644,1057083594#0
154083816#1,46148745#1,44884834#4,41529969,265176187#0,-1060224075#0,331676700,-231439986#1,-56016125#1
1030671931#1,173954130#0,1028570790#5,46876487,368086828#6,261321460#1,-151175272#2,542927920#0,59525014
154083816#0,23704718#4,170624692#3,271934577#2,90795036#4,1144401620,367848150,-32358841#1,46655820#1
