cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8
59254378#3,319195391,45018812,-136400684#8,667863954#1,23288278#1,71470206#7,89041314#10,59584797#1
45242992#1,45172807#1,-1028572142,47113638#1,47418327#2,-104353087#0,-368084601#2,-91689528#8,-46655464#6
69962703#2,45172804#1,-44884911#0,749803802#14,1137748894#0,185217008,449399206#8,89822302#3,-71502410#1
134923802#0,-23488561#5,-44884667#2,190533570#0,95396838#2,1057054858#1,1080759176#4,89881836#0,-1021551458
759287234#3,46149023#1,44884670#0,1237755657#0,31046766#0,1229917617,667865210#0,683455644#4,197666540#0
139082412#0,680781429#0,1028570792#2,151696104#1,32122316#1,669100015#2,103760979#5,228056312#1,1024100300
146744472#1,680781427#1,170624727#1,-47113651#0,90795012#0,154253443,-184314043#1,-543019008#0,-70936552#5
59254370#3,-31283076#0,-172627201,-136550178#1,90795036#1,1261366105#0,1080759180#2,89934489#1,314279960#3
208646346,1166015105,-1028573261#3,-44886286#4,368086015#3,-154253470#5,220548976#0,-683457657#6,56016102#2
134923801#4,45173874#0,-368074418#1,-47981633#1,1051315749#0,-34078512#2,22736448#0,-89881861#1,-46655819#1
968218278#0,131252712#1,172627267#4,-151560697,314205670#2-AddedOffRampEdge,1057527743#2,-27904494,89822282#0,-99702517#0
146744471#1,355202502,368074417#1,190527311,1057067192,-88083336#0,156290978#1,395264639#3,-56016125#2
45242993,580847350#0,1028570790#3,148940705#2,1126340245#0,58209119#4,151175272#2,1299028152#3,680508518#2
-47905475#9,-285677617#3,-1028572141,72843607#2,90795030,24294874#1,184315508#2,543018988,59584797#0
-146744466,-285677617#1,1028574804,-47113636#7,273211141#2,1057054858#3,152333600#0,43699315#13,56016102#0
282055767#0,-667867181,1028570783#0,1056405592#1,95396844#3,228076698#1,-157293029#0,-89823533,-792190865#2
1030288624#1,511081976#1,376769524#2,224195459#1,95396833#1,157296587#1,449399206#0,945962606#7,157366923#4
45242991#0,-131025971#1,-368083794,382680734,-95396849,-228514822#6,151175222#6,91686844,208649512#3
-208646345,131025971#1,-44884911#2,297026345#2,264448291,304727900#2,-367359810,89825903#22,59584806#0-AddedOffRampEdge
134923802#1,131025957#4,-184580017,-47981652,90837300#0,-34078512#1,22736451#1,-395264617#2,154088882#0
759287234#0,863546409#0,-44884668#0,46876836,47416767#0,-161392519#3,-22736444#1,586176997#1,-262334435#3
-150868759#2,-863546409#1,-170624690#2,-47111170#1,31046466#0,-71470213#6,-667865216#1,199311801#11,296443891#1
-47905475#4,24372990#0,166899880#1,-297026342#1,94094830#0,-154253456#1,151175231,-91686853#2,-46655809#1
431524249,680781423,-1028570786#2,4857840#5,156938702#3,103945938#4,151175274#0,89831415#0,46771111
186846962#2,-257239012#1,-1028573264#1,386246054#0-AddedOffRampEdge,156938658,-161392507#1,-103760979#0,577159986#0,168683388#1
134923821#3,45173871-AddedOffRampEdge,46876504#2,190898553#4,157214540#1,685193060#0,392090724#4,37672006#3,59585493#6
-47905475#7,584188117,44884830#3,44886288#0,95396825#2,749829569#5,131633158#6,-395264639#0,-261324420
-146744472#1,-717183322,44884830#1,1124642416#1,95282567,669100015#3,-273211100#1,91006343#0,-792190865#1
-968218279#4,-717183325,44884670#1,749803802#9,156938703#5,70364449#10,449490580#2,579331697#1,157366923#0
59254370#0,171300273#0,-368074414#1,47113632#4,-680760284,-120588459#4,162173391#1,-89046648#6,-116439672#1
-59254370#6,149851229#0,44884667#0,151696104#0,94094852#1,161392586#0,151175267#2,591365961,1024102261#0
-208646346,257239016,-170624697,44886227#0,47418307#2,-31280270#0,151175253#3,89934506#0,-154458448#4
211240823,257239010#1,198929902,-1124642416#0,-95282564#1,34078513#1,528899356#0,395264630#3,196629586#2
159625689#0,335539638,44884985#3,151801148#0,95396785#3,693896095,-103761128#0,683457660#0,1275740416
-154824596#0,44883009,441624830,-47113624#1,47418248#5,185217013#1,392088983#4,89046669#6,56016125#0
-139085551,45173871,170624688#3,-511201795#1,95396838#0,-1229917614#9,-71470206#2,314054616#2,1024102264#2
154824596#1,1027009173,44884834#2,1058297394#0,1137747563,-1080435559,154971367#10,89820767#1,-792190865#3
-1030288624#2,363687082#1,1028570785#2,47113636#1,-47416767#4,1057054856#1,-174022674#3,92034761#11,1024100297#1
-45242991#1,257357802#0,-368083796,-1124642414#2,95282542,228514822#2,-367848147#3,-254327781#9,59585493#5
642608817#5,597045663#0,-184580013,1229890420,95396843#4,23217864#1,168663988,541057035,46771119#5
891285336#0,-173954130#0,44884671#0,-190521610#0,94094853,-1056779405,449585989#2,89934443#0,215290851
642608817#0,-44838841#1,-170624724#1,-151801165#0,-157214540#0,749869680#0,392940747#4,77100175#2,46655813#4
146744473#3,-319196860#1,44884665#5,47113636#4,680760288#0,-185216947#0,228076702,395264626#4,154458448#0
45242996#0,-27241668#1,-44884668#1,-149986796#0,1051315747#0,88083347#2,22730774#3,31050856#12,1024100285
-354858501,1029279501,209210755#4,-1056874653#1,265176188,-23288277#1,667865207#0,77100164#6,1063455940#1
431519954,170641388#2,368074418#0,149986724,368086839,31280557#1,151175222#0,543019002,-56016102#0
146744473#4,209210744#1,-44884668#2,47113630#1,95396838#4,185216948,-31035595,237393906#0,314279960#2
-186846962#2,304919605#0,174022717,71367240#0,95396843#3,671522408#2,368084601#1,-89934511#2,46655813#0
-134923821#3,332634091#8,31133895#1,1296331246#1,31047273#6,-616560955#3,667865210#1,89213766#12,46771112#1
97685638#1,45174138#1,209210741#0,44885597#3,94094801#1,70936546#3,-746533316,731838356,59585493#4
-139718208,45177679-AddedOnRampEdge,991009315,1057215464,-31047273#5,-261321460#0,-220548970#1,89823568#0,57015985#0
813418915,45177679,174022680#1,-44885799#2,727402396#0,744266431#5,220551730#1,90835548#10,-46771111
883261846,-45172807#1,44884380#7,-47113632#2,667863954#0,-120588503#5,-168683414#3,89881832#0,-1021555391
4848932#7,1126633897,1253807732#1,-47113644#3,94094885#1,-139116576,-184314051#2,579331694#0,1060235877#1
459561639#0,1027009174,44884353#0,44886288#2,94094815#1,120469239#0,71470206#0,89881824#1,-157366923#0
1181162212,-285664438,24804076#0,148940705#3,-156942563#0,115591852#3,682462419#0,-89881824#2,215298730#0
44049166#0,562112859#0,-30998616,47981623#2,31047009#0,261480762,-397642511#3,-395264610#4,46771113#1
904911912,-680781430#2,304727809#3,189616564,95396843#1,58672755#2,28063951#4,89041314#3,59585493#2
726941894#0,23488564#2,1253807732#0,1056878775#2,264114941#2,168663960#4,46151430,254326640#3,401190982
172598640#1,131156019,429870959#3,1233716013#0,120419639#0,163816326#2,-156919890#4,89881841#0,210903489#1
69963032#3,388577165#0,673085464#1,-1056408301,93713541,71470226,-22562407#4,89934497#0,-680497677
4848930#1,257357822#2,673085464#3,-796894969#4,368086828#0,116436239,-162173421#1,395264640#8,-56016125#0
580847357#3,27241668#3,46876504#3,-149986652,-90795036#2,23298951#0,708004651#0,1126142879#0,46655815#1
151481858,46149611#0,648435893#1,1066886859#0,90795012#2,1057527743#4,220551730#2,-91686853#1,46655814
150868751#2,580847354,-31283330#0,47981623#1,682261299#0,88561227,-27904509#2,533092485#4,680508518#1
538982927#2,131025941#1,-304727997#2,-151560714#1,273211087#0,-266525183#1,1058417656,-265221586#3,1024100299#0
669790924#1,-131025941#2,24804076#8,44885597#0,95396765#3,71470210#1,22736445#0,89213766#5,-215290851
-139718219#0,-46149189,30969218#0,72843607#0,95282564#0,70350393#4,-151175229,89825914#7,208649501
69963044#4,45172807#2,1056328010,579776871,314205670#2,45018631#3,157058384#5,-89822277,157044175#0
240595362#1,45172806#0,46876504#8,71367221,94094868#7,104353087#4,50877021#4,395264640#2,-46655813#4
1245147126#2,45172802#2,368083811#1,-44886285#7,438405583#0,-154253470#2,-151175269#3,-89820776#0,71502410#1
39629578#1,23488562#4,-1056328003,1058029001#1,667863959#1,70936552#2,-266525189,581895213,1021551458
139718225#0,1268288172,-368083792#1,-136400684#1,1031963661,70350396#4,-319196849#6,314054616#0,-1024100285
97685728#0,-680781714,31133842#0,1056876860#2,-31047273#4,-161392555,-162173424#2,738893122#2,401190994
539237085#1,265010604,-24804076#4,-151560714#0,368086836,-174022637,319196849#5,231439986#1,154088882#2
211732702,-265010621,209366286#1,1056874644#1,-47416767#1,185216944,120525537#6,91686849#5,46655809#2
-88690557#4,-228633420#1,-31133855#0,151560672#2,156942563#1,197530527#2,-261326126#2,89881837#0,196629587#2
929013758#0,24803931#0,-44884346#1,-579799544,95396838#1,-70794984#7,136506337#2,32358841#0,-750339758#4
240595364#2,304727991#0,171018750,1058029001#2,1051315751#1,-88561232#6,151175222#5,750083498#2,71500780
40969582,355202503,209210739#2,47113624#3,157292823#0,156575055#6,152333598#3,-531417291#2,57601580
548908713,22918541#3,-31238049#1,-1056408300#1,95396825#3,1060235884,172365185#1,27916859#21,145988606#0
257233103#0,22918541#1,425464570#2,47113636#11,273211141#4,-1144401619,-151175259#0,395264612#0,-57015985#2
139718218#1,257239021#6,1056330401,-681031183#0,90636496#4,616560955#1,-397642511#1,759797589#0,56016125#2
59263148#1,-257239012#3,101134266#0,-47113644#4,157238666#1,616560955#2,154971367#7,89820776#2,-46655817
33847144#9,27241673,-31133881#0,45663908#3,23443405#0-AddedOffRampEdge,-648082983#1,702669087#5,23994706#2,162521831#1-AddedOnRampEdge
609929519#1,760588360#1-AddedOnRampEdge,44884379#0,749803802#0,47418248#1,154253470#1,-174022625,198164112,55886811#2
27695604#1,680781713,-44884353#0,190898553#5,583085357,190552057#1,156919890#6,236667129#2,46771115
24487306#0,-238836842,-24804076#1,-660841900#1,94094885#2,-197665252#1,313606688#2,395264624#0,-148642772#1
759284949,45173876#0,-31258035#1,-1124642414#0,-254327780#0,88561232#1,702669087#6,89820776#1,157058382#1
539237084#2,-350217575#4,61184936,1056876859#1,95396844#2,161392543,-168683414#0,-531417291#1,-43097008#7
33847142#1,353940879#2,-429870959#3,1057198634,33625702,154253434#1,133287968,89929086,135838552#8
879780895#0-AddedOnRampEdge,45170907,648435891#1,-60185717#1,682712367#2,1057527741#4,-449150695,-196306518,136228820#5
883261847#0,46149189,174405496#1,47981601#2,94094868#1,-148642786#2,315539209#4,-200681431,-43100782#1
759379782#3,355202491#1,46876504#3-AddedOnRampEdge,1056874645#0,1126127670,24294873#1,1080759181,-89820763,304727835#1
1026056857#6,-131025959#1,648435894,-1058036871#1,265176187#3,-154253469#3,157058385#0,-199311779#21,30952224#6
39168852#0,1027009172#0,101134275#2,136400684#13,95396802,-88083336#1,157293029#1,612573410#3,196629583#0
271720710,257239012#3,648408839#2,44886286#5,680762193#0,-1060235883,-168663974#0,-199311779#15,43322798#8
1070720649,-44883355#0,1249368539#0,1056405594#0,94094885#4,671522408#4,157058466#2,77100175#1,135838552#4
97685754#4,44883354#0,31133881#2,-303736644#0,94094885#5,-88083349#2,-120525569#1,199311779#16,135838553#5
319196850#5,-457308034,116436260,-47981623#0,157292782#2,685193060#2,449598456,89881814#1,1062056472#3
269150837#2,-23488562#2,31133842#1,-681031183#2,47418307#1,-679653135#0,228076693#1,583741284#5,31047306#3
-88690557#0,285677614#1,-131633149,516926840,1051315751#2,88083348,-162173401#0,91006344#5,98593790#0
47025799#6,-24372990#1,174022686#0,44886227#5,368086015#2,-154800507,151175220#0,89934449#0,436042882#2
95277526#11,879498552#5,-31133855#1,-47981604,-273211051,1057054858#6,-28063946#1,89881836#2,1024102271
39629578#6,-45172605#0,-24804076#7,-72843607#4,157214559#0,-986505886#2,667865215,43699315#2,319196848#0
151329169#2,45172605#0,1056330398#2,271934569,157296638,669100015#0,-449648375,395264611#2,-154722999
319195388#2,45172806#2,174022680#5,46876070#2,-31047273#6,-154253459,1080759180#5,395264617#3,136228820#0
240595360#2,45172805#2,174022686#2,749803802#10,95396765#1,-70794984#4,184314043#0,-89820745,436042879#0
660972503#0,333682052,648435889#3,47113636#2,751045577#0,-185216966,-31053660#1,196947991,-706102496#3
-968060910#3,266086974#1,24804076#3,149986796#2,95396765#2,-746533317,209210746#4,236667129#0,-99702521#2
929013755#0,257239013#3,-648435893#3,1066886862,265176670#5,71470177#4,154971171,731838355,1024120792#0
319196850#3,388577164#1,-1056330401,462324821#7,94094793#1,154253438,162173401#2,-543019008#3,148642793#1
69963044#1,388577159#0,44884348,986505224,243206484#0,-30841649#3,151175234#0,-395264610#8,70610410#1
539237086#1,680781424,174022675#1,-151695968#0,381697487#12,-88083355,-22736451#4,89823539#1,53542680#5
568498791#6,-131025961#1,682476163#1,-151696093,1126340246,1279886348,1135574250#3-AddedOffRampEdge,89828155#1,114496998#1
172665597#2,46149194#1,1056330392,-151560672#1,264448292#1,44886562#0,-151175260#2,199311801#0,154819659
-651701877#1,-46149195,174022720#1,1057215462#1,95282530#0,30841649#9,-184314051#1,-534412966,312195000#0
151329188,-609968226,174022720#7-AddedOnRampEdge,297026346#0,-89825913#0,545585643#0,-174022681#0,89822302#1,706096498#0
269150840#1,-1029279500,367851538#1,-210903531,-95282564#0,154253444,71470206#1,89823555#0,70324971#2
667962674#0,-1029279501,382681595,190527310#0,157214540#2,156919888#5,743671371#0,581742828,196629589#2
680788592#5,-22823721#11,30998616,136550113,273211087#1,88083349#5,71470206#9,89881857#1,-810145521
46869642#1,-680781429#1,209366286#0,-149986796#1,273211103#0,-154253443,71470206#14,542927920#3,706096498#1
43988828#0,131025950#0,-31133930#0,1066886864#0,94094815#2,103945938#2,199922052#0,-91686844,-154723062#1
667962674#1,23605011,648435889#2,-1058027400#1,228056321#0,-88083349#8,184314048#1,945962606#4,196629589#3
942581082,131156068,-31133881#2,1056876860#0,202903722#0,154253469#2,420082429,41972125#0,1009087387
680788593#0,261514199#0,-161392517,-749803802#8,95396844#0,88956628#0,220549214#0,89822296,-1284307159#1
240392370#1,-930438154,-31133842#1,-533486486,228056321#1,1057050905#1,-449399206#4,683459298#1,157366892#2
39629431#1,680781420,-25822382#2,1057198635#1,95396840#0,156919888#6,220549209#1,34605308#0,70509855#2
319196850#1,1028619482,-1056328000,-147297543#1,-156942563#1,154253434#2,1024125616#1,89822284,-91899427#5
147812381#0,319196856#0,31283330#0,986505223,264451390#0,-46655387#0,-667865216#0,89213766#7,154819636#2
39629550#2,261514198#0,44884381#1,1237754025#0,368086828#11,120588459#2,184315502#0,182236082#0,51843919#9
-191324188,-285664427,1056328003,1056876859#0,-153190946,-746533321#3,28063951#0,772804655#2,98593775#2
265068934#1,285664447,368083792#0,-47113638#1,228056321#3,1057050913#1,-120528221#1,199311796#3,-148642793#0
151329179#0,-149136361#0,-648435893#0,239698986,94094793#0,679937856,31336390#4,48390839#0,-154819598#0
240392370#0,-149136361#1,-1056330402,-749803802#15,1126340245#2,31280557#6,28063951#1,-591365961,148642780
33847146,657938694,-44884348,-151696104#1,94094796#2,-685193060#0,184293855#7,-89934506#0,-319196848#11
-1181162212,680781425#1,31133855#0,151560672#0,-157238666#1,261324434,-168663974#2,607060797#1,-42305099#0
1025991802,-24372991#4,648435889#0,1066890910#1,46151433#1,88956627,151175260#0,91006344#3,-27727791#12
759379782#0,680781421,44884346#0,224195459#3,-31047273#1,-156919888#0,315539209#7,91686849#4,436042882#1
964307336,1028619480#0,31133850#1,-44886227#3,265176187#7,120588503#0,152333575#2,395264626#2,31047303#5
922026090#0,-24372978#5,1056330398#0,1058027398#0,-583085357,365706946#0-AddedOffRampEdge,220551734,-89934449#2,148642784#1
-22730603#2,-24372978#3,-31133923,60185717#0,1137748894#2,-693896095,131633159,395264637#2,157050773#0
33847143#0,-46149605,31238049#1,-44886286#2,667863951,23243740,-888035089#1,40189499,-150349479
342481201#10,-46149609,367851541#1,-190898553#1,35216007#3,31303247#0,1060039307#0,89823567#2,70509858#1
751229842,44883382,-31283330#2,-1066886863,1051315751#0,-261324433#3,172365185#0,-89934443#0,-31297782#2
265068939#2,44883381#2,31258035#0,1058297390,95396849,-154253463#0,-397642511#0,-77100175#2,319196855#3
40969585#1,46149194#0,44884379#1,-72843607#2,-680762193#0,1057054855#0,209210758#0,395264612#2,-43322798#7
-1245147127#0,46149196,31133895#0,568498782,368086843,45664134#3,-304727996#0,156938659#12,-98593790#2
261065061#0,319196860#1,1028570793#0,533486486,202903724#0,-161392518#8,261326126#0,89825903#8,256511169#1
139718218#0,986165964,648435887#1,-1056405592#1,95396793#1,1060226506#0,-517046027#0,34605311#0,429967547
922026091,810346011#1,1056328496,462324821#4,35216007#12,70936554#1,103761129#4,89823568#1,878619654
-240595359#0,1028619486#0,184580011,-1058027399,160732454#3,-115591840,-103761129#8,89825903#13,-148642794#0
44049166#2,131025971#0,429870959#0,511201795#0,-47418307#1,88561232#7,28063947#1,199311801#17,127518238
894991905,46149028#2,304727918#0,398675574#1,368085648#2,-88561232#3,-103760979#5,-585279933#1,-98593794#1
-734897654,387312971#0,-44884381#2,164774173#0,35216007#14,161392615#0,157292846#2,199311796#1,31297682#5
172665593#0,269150822,61184933#1,1057198635#0,438405583#1,-671522408#2,172365186,583741284#3,-152185714
676291217#4,44955976#4,209210745#1,-1124642416#1,264109975,-70794980#5,156290978#2,199311779#11,-1024120799#1
151329171#0,44955970#2,-44884446#0,-749803802#9,156938693,743631281#3,367842333#1,395264617#5,1023908217#1
46869642#2,-332634091#0,31133855#1,1237755124#1,1051315756#0,46655427#1,151175274#2,-254326640#3,436042880#10
580847357#2,332634091#0,24804076#6,47113651#0,680760284,24294870#10,-151175274#0,328531813#0,-30919189#1
45171692,-846333253,388577168#1,47981633#0,682699859,-286703477#0,-120528221#0,89822310#0,-1055857400
879780891#1,846333253,174022720#8,-47113632#5,1096310481#0,120469241#0,368086015#0,395264622#1,956136645#4
23705307#0,170624692#4,174022649,-151696104#0,438405583#3,71488888#0,436182375#0,89822363,817841031#1
158180857,46148743#1,44884380#0,47981633#1,95282564#1,24294871,227454631#1,-254326640#2,154971172#0
-33847142#3,-332634091#1,44884105#0,151560697,1096310475#0,-154253449#1,174022674#4,89822310#2,98593790#1
-22730603#1,199152231,61184931#0,1237754031,368086844#1,-261480762,392943665#4,175252040#2,-199311778#8
139718226#1,22823721#10,-31133850#1,681031183#1,429875583#1,120588896#4,-449490580#3,89881820#2,43051364#2
139718226#0,-22823721#9,-1056330398#1,728136201#2,667863953#1,71470195#2,-220549209#0,32358841#4,-155035368
676291217#3,238836842,648408839#0,-149986654,368086832#7,154253449#0,-162173391#1,44776176#0,96828486#6
46869642#3,1029277426,46876504#4,1057215447,1055855103#1,-746533321#4,396771658,683459397#0,312195003#3
265068937#1,-24372991#0,131633157#1,47113650,47418248#4,156575055#8,449602006,89823558,-156942465#4
95274316#1,23488564#1,174022635#0,199783476,94094796#7,148642786#0,-103760987,-31050856#11,-436048954#1
854239334#0,131156057#2,648435893#2,47111170#0,157214540#0,1237936906#1,153792687,-89828180,-70610406#2
4848928#2,44838841#1,1056328004,297026342#1,368086832#3,24294870#6,-22562396#1,231439977#1,71281737
33847144#2,1241966322,304919608,796894966#1,273211128#0,-1260445648#0,168663958#0,89934445#4,-56240930#1
894991909#1,24053248#0,1056328493,-149986724,21910839#2,31280557#5,199922052#1,89825903#0,-43680742#0
47025799#1,-24372990#0,184293861#0,-47113630#1,1196930229,1259423448,-184315507#1,89934489#0,1258451873#1
879780891#3,-46149604#1,-102126347#3,-398675574#0,-401195404,-70936552#2,-220552213,-683458162#5,960810620#0
45242995#5,-930964332#1,425464570#0,-1057215464,-395264611#1,-746533321#2,151175223#1,-231524291#1,51843919#7
-147812381#10,135195085#2,1056328002#0,1066890912#1,-273211103#0,30841649#0,-667865207#0,577500018#2,-126859160#0
1026056857#0,39629447#2,174022630#2,-44886288#2,31047273#5,197530515#1,-31046060#1,-395264612#1,319185011#1
69963044#2,36688988#0,-44884381#0,-148940705#3,157292823#3,679653135#1,-368084601#1,89213766#0,193809619
-616100136,396771661#2,-31133895#0,-190898553#0,273211141#0,1057527740#2,71470206#4,-89939071,1024128479
-172665593#1,350217575#1,44884103,-224195459#0,1244504475#2,-616560955#2,368084608#1,199311779#2,58686258#0
95274316#0,-171300272#1,-1056328496,-47981626,-680762194,960810633,133434897,-89820776#1,-30949704#2
-968060910#2,131156025#2,209210741#1,136400684#12,156942563#0,197530515#2,184314056#1,89041314#1,55886812#2
147812381#4,-682459916,209210741#2,1056405592#0,95396756#1,685193060#1,184315505#0,-199311779#18,157058468#1
968218278#6,304727992,648435891#1-AddedOnRampEdge,1124642416#0,727402397#0,-702450016,1024125612,227968022#0,-30949704#1
95274341#1,-45172800,-1122405187,44885611#2,35216007#8,184314060#0,313606688#1,89881857#0,148642782#2
760734685#0,44883380#2,174022716,1296331246#0,682712370#0,-71502569#4,31096771,395264639#4,312195002#0
40969586#2,44883383,154125442,47113624#1,1126340243#0,88956624#1,-22562407#9,89822307#2,31047306#2
-97685613#0,1028258371,31133930#0,-1066886859#0,90636496#3,-70794984#0,261326133#0,89934458#0,492041970#3
319195388#4,45172804#4,-101134275#1,511201795#1,49680676#0,-671522408#5,365814436#0,-89934449#0,31047303#8
207104337#0,46149604#2,161392517,-579776871,94094852#0,71470185#1,436182375#8,-89881836#2,319185011#2
25824166#2,44883381#3,-429870959#1,151801148#1,667863961,986505886#3,392090724#2,89828176#3,1024120796#1
968218278#4-AddedOffRampEdge,131025954#3,648435888,1124642414#1,682712366#0,208649513#4,22562403#2,683453782#0,-98593814#1
1103812306,1028689293,25822382#1,-749803802#3,-46151433#1,1057054856#0,120525547#0,395264623#3,-30952224#5
39521608,717183322,916714465#0,151801165#0,95396765#4,156575055#9,449399206#13,-254326640#1,-153792698#1
240595359#1,-1028619482,1056328000,149986796#0,33625902#2,91096669#6,615528182#1,89213766#2,103751347#6
-968060910#4,22823721#0,154125452#0,47113636#12,368086844#0,-671522408#4,162173400#0,1047436418#0,-55886807
932390016#0,-1028258371,-31133881#4,151695968#1,1031963659,1057050910#1,392092819#3,77100164#3,-57889595#2
139085562#0,-46149196,44884104,1058036877#1,265176189,-685193060#2,151175271#1,-597169249,70330617#4
-690198421,46149028#0,1056328009,-164774173#1,31047273#2,156919888#3,304727995#0,561014429,46655805#1
669790924#0,39629447#0,45018632#2,-151560672#2,492041977#1,-88083348,-672919572,231439988#2,70330617#1
27695604#2,680781717,44884551#0,-151560757#1,314205670#3,-70794984#5,392940747#3,33549841#0,-158177940#5
240595364#0,131025950#1,1056328001,136400683#0,368086832#10,266525183#0,304727916#0,395264621#0,312195005#3
4848928#9,-131025954#2,31283330#1,47113642#3,265176676,161392598#1,392943690#8,738893122#3,70509860#2
-145402277,-23704735,-648408839#1,44885989,95396823#0,-148642786#4,367848147#4,27916859#25,127518234
1158715735,-131025963#0,-1056328004,-44886285#1,90636496#6,-23217864#0,162173421#2,89046669#4,1055855908
4848911,44838841#0,648435893#0,136400684#15,368086832#1,-161392513#4,-367842334#0,22720676#2,-152185736#0
342481201#8,-46149604#2,1056330402,151560714#1,-667863958,-120588896#1,-319196849#5,595117873#0,157058455#7
203301448,44955796#1,1056330400#0,-47113636#11,156938703#4,45664134#0,-387345131#0,683459297,648488816#4
-172665593#0,220547267#2,45018632#3,1058036878#2,667863959#0,-1237936908#1,1135574250#1,89929074#3,-43051364#5
968060910#5,220547267#1,-1056328493,-190898553#5,33621329,154253448,678687042#1,-89825914#6,464084177#0
315233373#1,-257240781,46876504#10-AddedOnRampEdge,462324820#2,156938703#1,208649513#3,-157058385#1,-231439988#1,669098840#1
884274229#2,257240781,131633156#0,462324823#0,1096310485#0,-88083349#7,-227454631#0,-608531036,156575070#0
25824165#1,149851229#2,304727761#1,151560714#0,682712369#2,261324433#2,157058382#0,-22720676#10,290874174#6
44049166#3,31283076#1,174022720#0,-44886287#1,264109976,-154253438,-261326133#1,311890257,70324971#1
40969594#0,257239021#1,174022720#7,136400684#0,95396785#2,70350396#3,-152333598#3,-683458162#2,43322798#6
548908719,1015165917,-31238049#0,796894966#4,450523569,161392626#0,-172365185#1,91006341#3,157058457#0
548908717,1015165917-AddedOffRampEdge,367851541#0,-44886227#1,-851839123,71470210#0,162173400#2,533092484,43097008#11
-139718226#0,680781430#0,174022719#1,41529971#0,90795029,-154253444,151175222#9,683457657#0,-31297682#7
240388169#0,-44883384#1,31133923,-44886286#6,273211048#2,71470213#2,1028570796#1,-89939069,43100783#0
-69963032#2,44883384#1,31283330#2,190527312#0,228056324#7,-103945938#3,151175222#3,231439988#0,-158177940#6
525276670,23488560#0,209210745#0,462324820#4,33640827#3,742072642,312195000#4,542927920#2,156942446
33847144#3,24372978#1,174022711#4,148940705#0,90636496#1,871138585#2,174022632#3,-395264612#5,-136228820#6
856631371#20,-44838840,174022720#10,579799544,94094830#1,-156919888#6,151175223#3,395264640#0,492041970#1
39520581#0,1028241263,44884551#1,1058036876#0,89825912#0,115591852#0,313606688#6,89929074#0,-43322798#2
660988514#1,131025931#1,154125441,1066890912#0,94094801#0,-154253434#2,157058384#0,395264628#4,1055857401#1
139718209,-350217575#1,-44884347#5,-44886227#6,681548222,71502569#9,-156919890#7,91689528#0,56240964#0
342481201#12,355202492#1,-31133931,44885597#2-AddedOnRampEdge,94094793#2,-120588459#2,184315497#4,91689528#2,1257133852#1
47025799#4,304727991#1,24804076#9,1057215461,-94094819#1,58209110#1,71470206#3,683458164#5,312195005#7
271720622#1,31237829#0,648435887#0,47111169#1,682261294,103945933#0,22730774#2,736550490#3,-98593749#1
568498791#0,27241669#1,-44884446#1,46876069#2,772804652#0,-679937857,22736181#1,395264607#0,114496998#0
319196850#2,171300274,31133930#1,1058029001#0,368086832#0,70794980#4,667865217#1,91689528#6,135838552#7
4848932#6,-1027009172#1,4857047,190521610#1,157293003#2,669100015#4,22736446#0,89823567#4,156942465#7
759287234#0-AddedOnRampEdge,131156067#1,44884352#0,-749803802#10,38790699#0,154253469#1,-151175242#0,-34605308#0,98320321
856631371#18,257357824,-304727997#1,660841900#0,-273211128#1,-88083360,152333576#1,-89822284,-43322798#8
-147812381#5,31237872,174022667#1,365706946#1,95282554,-70936554#2,136506337#6,744419622#2,-135838553#5
271720637#0,100102320,368083811#0,-386246056,264448292#3,-887406167,1057054850#3,98883477#0,70610406#0
1009766031,173954117,-31283330#1,297026345#0,157292793,-161392620#0,133434827,89823567#3,71359525#0
97685754#2,173954130#1,44884446#0,47981601#0,94094885#3,-88937127#0,-133288284#7,-48390839#0,-30948680#4
798844785,-332634094#2,367851538#3,-986505224,33625902#0,116436274#1,151175259#2,265221586#0,-1024102271
24487306#1,1166015104#0-AddedOnRampEdge,-1056330400#1,72843608,1051315753#0,-88561232#8,22736181#3,-89934432,1024115417
856631371#21,285454834#1-AddedOnRampEdge,-648435888,-1056876861,31046910,-161392615#0,31096712#2,89934489#2,98593741#0
39521349#0,45173876#1,648435892#0,644730737,95396785#0,31280557#0,-449598456,89041314#9,-319196848#1
968060910#6,24372991#0,61184933#3,-1057215462#1,-95396776#0,-154253456#0,-228076693#1,772804654#0,-136228820#2
39629578#8,31283064#1,174022711#0,-297026346#1,95396756#3,-120588503#4,372741506#0,89825903#20,98593757
760591655#0,1268288171,-25822382#3,-136550113,35216007#5,190433604#1,372741501#1,-231439973,43680741#1
568498791#4,45177385#0,102126347#2,1058297391,314205670#0,154253470#5,-162173388,199311785,-148642793#1
854239336#0,-863546409#0,368083792#2,149986655#1,492041977#0,161392595#3,168663959#1,579331697#0,1284307157
651701877#1,297648255#1,1056330396#1,47113630#3,43100779#0,1257221457,184314048#0,23994706#7,-114496998#1
191318898,779874419#1,102126347#4,47981623#0,839784838#1,116436274#0,-162173401#2,89934445#2,157058455#1
879780891#6,-45172606#1,44884381#0,1056876859#3,1051315756#1,-120469241#0,-120525586,-395264612#3,319197093#2
