AreaCode,name,type_school,type_nursery,address,shelter_type,capacity,レベル,lat,lon,id,target,id_mod,depth,duration,edge_id
13102.0,日本橋公会堂集会室,0,0,東京都中央区日本橋蛎殻町1-31-1,拠点避難所,61,1.0,35.682486,139.784321,7.0,1.0,1.0,2.45,656.8333333,95396785#1
13102.0,日本橋社会教育会館,0,0,東京都中央区日本橋人形町1-1-17,地域福祉避難所,15,1.0,35.684771,139.781394,7.0,1.0,1.0,1.48,655.8166667,667863959#0
13108.0,深川北子ども家庭支援センター,0,0,東京都江東区高橋14-6,避難所,22,3.0,35.68592739,139.7991314,7.0,1.0,1.0,1.37,36.68333333,-30955664#0
13108.0,中村中学高等学校,0,0,東京都江東区清澄2-3-15,避難所,58,1.0,35.68146,139.796599,7.0,1.0,1.0,0.17,0.0,172365194#1
13108.0,白河かもめ保育園,0,1,東京都江東区白河1-5-1-101,避難所,20,1.0,35.683256,139.799912,7.0,1.0,1.0,1.05,21.63333333,-168683414#0
13108.0,白河保育園,0,1,東京都江東区白河1-7-1,避難所,16,1.0,35.683155,139.799683,7.0,1.0,1.0,1.05,21.63333333,154971367#0
13101.0,都立一橋高校,1,0,東京都千代田区東神田1-12-13,指定避難所,189,1.0,35.69457,139.781071,7.0,1.0,1.0,1.41,658.0666667,31046466#0
13102.0,久松小学校,1,0,東京都中央区久松町7-2,避難所,187,1.0,35.688958,139.784559,7.0,1.0,1.0,1.45,655.5,94094796#6
13102.0,日本橋小学校,1,0,東京都中央区人形町1-1-17,避難所,148,1.0,35.684848,139.781377,7.0,1.0,1.0,1.48,655.8166667,95282564#1
13102.0,日本橋中学校,1,0,東京都中央区東日本橋1-10-1,避難所,201,1.0,35.692459,139.787071,7.0,1.0,1.0,1.46,657.6833333,-157214540#2
13102.0,有馬小学校,1,0,東京都中央区蛎殻町2-10-23,避難所,211,1.0,35.683533,139.787635,7.0,1.0,1.0,2.7,657.3333333,35216007#0
13106.0,旧福井中学校,1,0,東京都台東区浅草橋1-22-15,避難所,189,3.0,35.69791572,139.7842098,7.0,1.0,1.0,1.78,659.55,597967648
13107.0,両国小学校,1,0,東京都墨田区両国4-26-6,避難所,171,1.0,35.693792,139.795182,7.0,1.0,1.0,1.62,43.31666667,-104107450
13107.0,両国中学校,1,0,東京都墨田区横網1-8-1,避難所,192,1.0,35.697653,139.795571,7.0,1.0,1.0,0.71,10.68333333,157050773#0
13107.0,緑小学校,1,0,東京都墨田区緑2-12-12,避難所,136,1.0,35.694098,139.801154,7.0,1.0,1.0,0.94,17.3,103751347#12
13108.0,深川小学校,1,0,東京都江東区高橋14-10,避難所,120,1.0,35.686043,139.799572,7.0,1.0,1.0,1.37,36.68333333,30955664#0
13108.0,八名川小学校,1,0,東京都江東区新大橋3-1-15,避難所,177,1.0,35.687016,139.795684,7.0,1.0,1.0,0.0,0.0,1080759176#4
13102.0,月島児童館,0,1,東京都中央区月島4-1-1,拠点避難所,146,1.0,35.66199,139.782293,8.0,1.0,2.0,0.0,0.0,131025957#2
13102.0,月島社会教育会館,0,0,東京都中央区月島4-1-1,地域福祉避難所,22,1.0,35.661999,139.782189,8.0,1.0,2.0,0.0,0.0,335539645#0
13102.0,新川区民館,0,0,東京都中央区新川1-26-1,拠点避難所,43,1.0,35.676414,139.783724,8.0,1.0,2.0,1.13,653.2333333,46151435#6
13102.0,佃児童館シニアセンター,0,1,東京都中央区佃1-11-1,地域福祉避難所,27,3.0,35.668906,139.784737,8.0,1.0,2.0,0.0,0.0,285664494#0
13102.0,特別養護老人ホーム「マイホーム新川」,0,0,東京都中央区新川2-27-3,広域福祉避難所,4,1.0,35.6731,139.783821,8.0,1.0,2.0,0.7,14.38333333,243800062
13108.0,ちどり幼稚園,0,1,東京都江東区古石場1-11-11,避難所,11,1.0,35.669184,139.794848,8.0,1.0,2.0,0.25,0.0,162173421#1
13108.0,塩浜保育園,0,1,東京都江東区塩浜1-3-10,避難所,25,1.0,35.66349,139.800792,8.0,1.0,2.0,0.0,0.0,30998350#1
13108.0,古石場福祉会館古石場児童館,0,1,東京都江東区古石場1-11-1,避難所,17,3.0,35.6689449,139.7952625,8.0,1.0,2.0,0.25,0.0,-162173421#1
13108.0,古石場文化センター,0,0,東京都江東区古石場2-13-2,避難所,74,1.0,35.666926,139.799142,8.0,1.0,2.0,0.29,0.0,-151175267#1
13108.0,古石場保育園,0,1,東京都江東区古石場2-14-1-102,避難所,25,4.0,35.66700309,139.7998076,8.0,1.0,2.0,0.29,0.0,151175230
13108.0,深川スポーツセンター,0,0,東京都江東区越中島1-2-18,避難所,170,1.0,35.670459,139.79171,8.0,1.0,2.0,0.25,0.0,261326133#0
13108.0,深川一丁目保育園,0,1,東京都江東区深川1-6-15-101,避難所,14,1.0,35.677266,139.796376,8.0,1.0,2.0,1.3,37.65,-220552217#0
13108.0,深川図書館,0,0,東京都江東区清澄3-3-39,避難所,48,1.0,35.679154,139.796721,8.0,1.0,2.0,0.78,13.41666667,22562407#1
