cluster,alpha,beta,N_jam,coef1,coef2,coef3
0,0.44601761620241087,0.5453239181427821,5453.239181427822,4.092194609285892e-07,-0.0044717822346439645,12.36656990939966
1,0.35454745407473426,0.2896622427681128,2896.622427681128,2.1705340855846633e-06,-0.012598775004522146,18.506925356859508
2,0.253702008119433,0.34635594841996536,3463.5594841996535,9.084977553526311e-07,-0.006305453542748286,11.0752374263098
3,0.4500712387242359,0.3214489448100351,3214.489448100351,2.0161050309047094e-06,-0.01298658548729916,21.170009232825464
4,0.2604065283978178,0.3295952632258976,3295.952632258976,1.0821236507339574e-06,-0.007147064006711571,11.946005142302155
5,0.7125366061221508,0.4127503098629204,4127.503098629204,1.5076928074111039e-06,-0.012470104469889859,26.10186649682941
6,0.4969868564543987,0.3265152609926304,3265.1526099263037,2.1242339994854538e-06,-0.013898747372124834,23.014058352880824
7,0.22321819586633201,0.2337655822019201,2337.655822019201,2.5998948958328105e-06,-0.012178847200846644,14.437793150334933
8,0.5367620640238767,0.5496422174010583,5496.422174010583,4.809605674110547e-07,-0.0052973586248995265,14.765682385927635
